temp avg(Åé),max_temp(Åé),min_temp(Åé),total rain(mm),humid avg(Åì),cloud avg
8.9,17.6,0.9,50,62,7.3
6.6,18.8,-1.3,50.5,61,6.6
9.4,22.9,0.3,70,62,7.3
10.9,24.8,1.1,155,64,7.6
13.8,23.3,6.5,199.5,62,7.5
19.2,27.9,10.5,105,64,6.7
23.5,31.2,15.7,203,73,8.2
27.7,36.1,22.6,453.5,73,7.3
30.3,37.4,24.4,69.5,65,5.8
26.3,36.4,17.8,138.5,67,6.1
20,27.5,9.5,78.5,65,7.4
13.2,21.3,4.5,58,60,5.5
8.8,20.1,0.1,148,64,7
3.8,9.8,-2.2,106,59,8.2
8.2,21.1,0.2,48,65,6.5
8.8,19.8,0.8,60,56,5.8
14.7,26.9,5.4,37.5,59,5.4
19.8,30.3,12.3,277.5,73,7.9
23.9,34.5,17.8,409,80,9
27.9,35.7,21,172,73,7.8
28.5,36.1,23,322,74,7.6
25.2,34.8,14.3,85.5,73,6.5
19.7,27.7,10.6,127,70,6.6
16.3,27.5,5.2,166.5,69,6.9
8.5,17.1,0.7,38,60,7.7
6.3,14,0.8,29.5,60,7.8
5.7,15.8,-2.9,155,68,8.6
10.7,22.7,1.3,125,64,6.6
16.2,26.7,5.8,74.5,61,5.9
20.1,28.8,12.5,43.5,68,6.9
23.1,31.9,18.3,288.5,78,9
28,36.5,19.6,464,76,8
29.1,37.5,23.1,188.5,70,6.6
24.5,32.4,16.4,129,74,7
19.2,27.4,10.8,47.5,65,5.1
12.9,21.2,3.8,125,61,6.7
7.6,15.8,0.3,98.5,63,7.6
6.1,15.5,-0.6,57.5,62,7.2
7.8,18.5,-1.7,81.5,63,7
12.3,24.1,2.5,56.5,64,5.9
14.7,27.2,6.2,108,60,6.3
20.3,30.8,9.1,37,64,5.8
23.7,32.1,17.1,268.5,80,8.8
30,37.3,22.9,134,66,6.5
30,37.9,22.6,501.5,72,5.5
25.2,34,17.5,133,71,4.9
20.7,29.9,11.1,227.5,69,6.2
13.4,22.8,5.2,119.5,63,6.7
8.1,16.1,2.5,77,63,7.2
7.5,17.3,0.6,57.5,62,6
7.6,20.9,1.1,83,68,7.5
11.5,23.2,1.6,102.5,66,6.5
15.6,24.9,5.6,61,63,6.2
20.5,30.8,9.6,94,59,6.1
22.6,30.7,17,101,79,9
27.1,37,20.1,373,79,8.2
26.5,32.6,21.1,462.5,85,9.2
24.2,30.8,16.7,107,75,7
19.7,29,11.2,144.5,69,5.4
14.7,23.8,7.4,106,69,6.2
7.6,18.7,0.2,73.5,58,7.6
7.9,16.2,-0.9,83.5,62,7.4
7.6,15.7,0.6,42.5,62,7.3
11.1,22,1.6,94.5,61,6.1
16.2,28.3,7.5,239.5,70,7.6
20.7,30.2,13.6,120.5,68,6.5
22.6,30.9,15.6,222.5,80,8.8
26,34.7,18.9,266,82,7.7
27.4,35.8,21.2,319.5,78,6.4
23.2,30,17.1,146,78,7.4
18.9,29.2,11.3,83,67,3.9
16,27.5,5.2,140.5,76,8.1
10.3,18.2,1.3,109.5,72,7.4
7,16.5,-4,92,71,8.4
7.9,20.6,0.5,98.5,65,7.7
11.5,23.6,2,77.5,67,6.4
16.8,26.3,9.2,196,74,8.1
20.8,30.6,10.4,191.5,70,7.2
23.6,32,15.9,394.5,81,8.5
28.3,35.8,22.9,179.5,76,7.7
29.3,37,18.8,128,72,4.9
25.1,33,20,608.5,84,8.9
21.3,32.8,13.8,181,77,8
14.5,22.8,5.9,132.5,73,6.6
10.5,20.6,2.6,141,70,7
7.4,19,-0.6,69.5,66,7
8.3,19.5,0.3,49.5,60,5.9
10.5,19.4,4.1,46,61,7.2
16.5,28.2,5.8,192.5,69,6.1
21,31,14.3,81,65,6.4
23.1,33.2,15.9,173,72,8
29.4,36.1,22.8,146,77,8.2
29.5,37.5,23.5,95.5,73,6.7
24.3,31.3,17,128.5,76,7.7
19.8,29.5,11,289.5,77,7.3
13.6,22.8,4.4,23.5,68,5.8
7.4,16,0.8,24,61,7.7
5.7,18.6,-0.4,89.5,64,7.7
6.2,16.8,-1.8,57,63,6.8
11.9,23,3,147.5,69,5.3
17.1,26.4,6.8,61,66,5.4
20.8,31.6,10.4,134,68,7.2
23.7,31.7,16.6,267,75,7.9
28.7,38.3,20.8,466.5,74,6.1
30,38.1,23.7,52,68,5.5
24.8,34.8,17.5,176.5,75,7.9
19.1,30.2,11.4,59.5,67,6.5
14.3,23.5,4,39.5,68,5.3
10.2,26,2.3,67,66,7.4
